Date,Open
12/30/2022,"1,821.80"
12/29/2022,"1,812.30"
12/28/2022,"1,822.40"
12/27/2022,"1,808.20"
12/26/2022,"1,805.80"
12/23/2022,"1,801.00"
12/22/2022,"1,823.80"
12/21/2022,"1,827.90"
12/20/2022,"1,796.80"
12/19/2022,"1,801.60"
12/16/2022,"1,786.90"
12/15/2022,"1,818.70"
12/14/2022,"1,822.60"
12/13/2022,"1,792.30"
12/12/2022,"1,808.00"
12/09/2022,"1,801.90"
12/08/2022,"1,799.50"
12/07/2022,"1,783.30"
12/06/2022,"1,780.80"
12/05/2022,"1,810.50"
12/02/2022,"1,817.00"
12/01/2022,"1,783.10"
11/30/2022,"1,763.40"
11/29/2022,"1,754.60"
11/28/2022,"1,771.10"
11/25/2022,"1,751.00"
11/24/2022,"1,753.05"
11/23/2022,"1,740.80"
11/22/2022,"1,739.70"
11/21/2022,"1,752.00"
11/18/2022,"1,763.10"
11/17/2022,"1,777.00"
11/16/2022,"1,782.00"
11/15/2022,"1,774.00"
11/14/2022,"1,769.40"
11/11/2022,"1,758.30"
11/10/2022,"1,709.70"
11/09/2022,"1,715.20"
11/08/2022,"1,678.00"
11/07/2022,"1,678.60"
11/04/2022,"1,631.70"
11/03/2022,"1,639.10"
11/02/2022,"1,651.40"
11/01/2022,"1,636.10"
10/31/2022,"1,647.20"
10/28/2022,"1,667.20"
10/27/2022,"1,664.10"
10/26/2022,"1,652.30"
10/25/2022,"1,649.60"
10/24/2022,"1,662.00"
10/21/2022,"1,626.10"
10/20/2022,"1,628.90"
10/19/2022,"1,652.40"
10/18/2022,"1,651.00"
10/17/2022,"1,646.30"
10/14/2022,"1,665.60"
10/13/2022,"1,680.20"
10/12/2022,"1,673.40"
10/11/2022,"1,675.60"
10/10/2022,"1,703.40"
10/07/2022,"1,721.00"
10/06/2022,"1,725.50"
10/05/2022,"1,734.40"
10/04/2022,"1,708.40"
10/03/2022,"1,670.50"
09/30/2022,"1,669.50"
09/29/2022,"1,669.00"
09/28/2022,"1,631.40"
09/27/2022,"1,626.70"
09/26/2022,"1,643.00"
09/23/2022,"1,674.60"
09/22/2022,"1,674.30"
09/21/2022,"1,666.80"
09/20/2022,"1,682.30"
09/19/2022,"1,680.20"
09/16/2022,"1,665.60"
09/15/2022,"1,695.00"
09/14/2022,"1,704.00"
09/13/2022,"1,733.40"
09/12/2022,"1,731.00"
09/09/2022,"1,716.00"
09/08/2022,"1,723.40"
09/07/2022,"1,722.80"
09/06/2022,"1,719.70"
09/05/2022,"1,719.20"
09/04/2022,"1,723.60"
09/02/2022,"1,709.60"
09/01/2022,"1,708.00"
08/31/2022,"1,721.40"
08/30/2022,"1,731.60"
08/29/2022,"1,740.10"
08/26/2022,"1,762.30"
08/25/2022,"1,755.10"
08/24/2022,"1,752.20"
08/23/2022,"1,739.50"
08/22/2022,"1,750.50"
08/19/2022,"1,762.70"
08/18/2022,"1,766.30"
08/17/2022,"1,780.50"
08/16/2022,"1,785.20"
08/15/2022,"1,808.20"
08/12/2022,"1,793.90"
08/11/2022,"1,797.90"
08/10/2022,"1,799.80"
08/09/2022,"1,794.00"
08/08/2022,"1,780.30"
08/05/2022,"1,796.00"
08/04/2022,"1,771.90"
08/03/2022,"1,767.40"
08/02/2022,"1,779.30"
08/01/2022,"1,772.20"
07/29/2022,"1,762.40"
07/28/2022,"1,741.30"
07/27/2022,"1,720.00"
07/26/2022,"1,721.80"
07/25/2022,"1,730.10"
07/22/2022,"1,721.00"
07/21/2022,"1,697.10"
07/20/2022,"1,713.70"
07/19/2022,"1,711.20"
07/18/2022,"1,710.30"
07/15/2022,"1,712.70"
07/14/2022,"1,738.70"
07/13/2022,"1,728.00"
07/12/2022,"1,737.20"
07/11/2022,"1,741.80"
07/08/2022,"1,743.70"
07/07/2022,"1,743.00"
07/06/2022,"1,771.90"
07/05/2022,"1,817.00"
07/04/2022,"1,814.40"
07/01/2022,"1,810.30"
06/30/2022,"1,816.30"
06/29/2022,"1,822.00"
06/28/2022,"1,823.60"
